sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
RD144,423,416,442,1281,844,260,268,228,756,483,148,165,98,411,212,31,22,10,63,17,241,250,352,717,592,148,160,189,429,360,85,96,85,235,163,18,13,9,37,14,20,48,15
RD158,395,290,367,1052,389,258,196,193,647,218,166,113,70,349,91,52,27,7,86,11,252,181,312,656,294,166,120,174,416,162,108,69,62,219,63,33,14,6,46,8,25,23,22
RD466,292,188,266,746,72,191,112,137,440,14,99,54,55,208,3,26,16,6,48,0,191,118,211,484,61,129,73,113,296,13,68,38,42,137,3,17,9,6,30,0,17,6,17
GSS198494,283,243,257,783,7,175,160,144,479,4,111,86,54,251,1,30,34,4,68,0,196,160,220,514,7,123,108,128,322,4,78,65,46,172,1,22,24,4,44,0,12,1,11
GSS119194,276,258,372,906,13,177,168,187,532,3,116,104,60,280,2,36,21,5,62,0,193,175,300,600,10,124,112,160,360,2,78,70,54,184,2,25,14,5,42,0,19,1,17
UDN110107,273,343,241,857,89,201,198,110,509,37,108,117,42,267,18,43,32,6,81,1,181,226,207,542,74,133,138,95,326,30,72,79,37,167,15,26,22,4,45,1,12,8,12
UDN874525,273,273,320,866,5,173,190,159,522,4,85,120,65,270,3,25,33,4,62,2,186,189,276,593,4,119,126,144,362,3,62,78,59,184,2,17,23,4,41,1,25,0,21
RD416,272,323,227,822,3,183,211,107,501,2,112,107,45,264,0,28,20,4,52,0,176,208,188,511,2,122,140,91,320,1,78,68,38,174,0,21,12,4,36,0,8,1,8
RD417,261,238,213,712,11,174,165,89,428,7,107,84,38,229,3,34,22,1,57,1,165,158,186,460,8,112,110,82,282,4,68,53,33,143,1,20,12,1,29,1,11,0,10
RD448,261,273,446,980,139,168,186,210,564,49,109,111,68,288,16,37,35,8,80,4,168,173,377,646,111,110,119,180,377,36,70,72,61,189,10,23,21,7,48,2,20,4,19
UDN754828,254,310,179,743,67,142,196,72,410,35,90,94,23,207,7,17,23,3,43,0,169,199,151,474,57,93,126,63,263,32,62,64,21,140,7,12,16,3,31,0,8,1,7
UDN258948,250,261,264,775,9,146,192,128,466,3,92,96,39,227,2,20,23,1,44,1,176,178,225,513,7,100,135,111,311,3,61,74,37,155,2,13,19,1,31,1,14,0,12
RD435,241,307,289,837,74,142,185,143,470,41,78,115,59,252,17,21,29,4,54,0,157,190,250,525,60,92,114,123,297,34,53,75,49,162,16,13,19,2,33,0,11,4,10
UDN903368,236,248,288,772,9,154,155,154,463,3,84,104,74,262,2,23,24,10,57,0,155,168,252,527,9,100,105,136,321,3,58,73,68,188,2,13,18,10,39,0,11,0,9
UDN890212,228,206,322,756,3,146,135,161,442,2,86,86,63,235,0,12,15,11,38,0,177,148,271,533,2,113,101,141,322,1,68,63,57,175,0,11,10,9,29,0,16,0,15
UDN828758,225,166,71,462,14,148,97,30,275,8,87,59,11,157,4,17,18,1,36,0,151,110,65,295,11,103,70,28,182,6,57,43,11,102,3,10,12,1,21,0,3,0,3
UDN098331,223,212,364,799,2,135,141,204,480,0,87,84,75,246,0,21,17,7,45,0,160,145,306,552,1,99,95,179,338,0,64,55,68,174,0,15,11,7,30,0,13,0,13
UDN469319,215,249,235,699,4,136,133,97,366,4,78,82,34,194,1,20,11,0,31,0,153,171,201,469,3,99,96,85,250,3,54,58,29,129,1,14,9,0,22,0,11,0,10
RD383,206,232,235,673,9,118,153,115,386,6,65,82,41,188,1,22,31,4,57,1,151,163,198,464,7,90,109,99,274,5,49,53,36,128,1,14,18,4,32,1,7,0,7
GSS189457,205,149,136,490,3,113,91,66,270,3,54,46,24,124,1,15,14,2,31,1,141,107,121,337,2,78,65,60,187,2,42,34,22,89,1,8,10,1,17,1,4,0,4
RD470,199,207,179,585,14,134,131,93,358,7,69,67,38,174,5,23,22,3,48,3,131,131,147,369,10,89,86,76,228,6,42,46,32,107,5,15,15,2,27,3,9,0,9
RD424,197,218,155,570,11,123,141,85,349,4,68,77,23,168,1,18,11,6,35,0,136,132,129,363,10,84,94,74,234,3,46,49,20,106,1,13,6,5,23,0,5,1,5
RD140,189,211,410,810,832,110,132,237,479,481,65,72,101,238,236,9,20,11,40,21,119,129,334,539,600,73,82,195,329,367,42,45,85,161,192,7,12,11,28,18,22,47,19
GSS196407,186,175,202,563,1,111,131,103,345,1,58,70,43,171,1,13,16,5,34,1,134,125,168,394,0,79,95,92,252,0,39,51,37,118,0,7,9,5,20,0,12,0,11
UDN945491,183,189,230,602,4,136,138,121,395,4,80,56,45,181,4,14,16,0,30,4,130,138,208,433,2,96,103,109,283,2,56,41,42,128,2,10,9,0,15,2,15,0,13
RD428,181,153,71,405,1,115,98,28,241,1,61,45,8,114,1,18,12,1,31,0,128,102,62,270,0,82,66,25,159,0,42,33,7,75,0,10,7,1,16,0,4,0,4
