sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Psi5_Junctions,Psi3_Psi5_Junctions_01,Psi3_Psi5_Junctions_001,Psi3_Psi5_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,Psi3_Psi5_Genes,Psi3_Psi5_Genes_01,Psi3_Psi5_Genes_001,Psi3_Psi5_Genes_1e_6
BON_B17-01_1_R3,1163,0,0,1163,0,694,0,0,694,0,444,0,0,444,0,152,0,0,152,0,0,0,0,0,781,0,0,781,0,442,0,0,442,0,271,0,0,271,0,91,0,0,91,0,0,0,0,0
49O_NM_M1,709,6,682,1407,10,353,4,441,804,6,89,4,247,345,5,35,3,73,112,1,715,357,93,38,501,5,484,785,5,258,4,319,486,3,54,4,186,225,2,21,3,60,80,1,506,262,58,24
MAN_1438-01-M1,675,270,134,1374,295,413,190,86,801,112,210,100,47,385,28,36,24,14,74,0,945,603,310,60,448,157,130,799,250,268,108,86,476,99,132,59,47,234,27,21,15,14,48,0,605,376,191,36
OUN_HK116_001,454,151,377,1018,36,261,106,229,613,17,115,56,126,306,9,28,15,32,75,0,605,367,171,43,320,92,329,622,32,180,62,204,376,14,70,33,118,200,6,16,9,30,49,0,412,242,103,25
INMR_IK_581,447,92,161,713,13,268,77,104,456,7,90,55,61,209,3,15,23,18,57,1,539,345,145,38,307,53,146,430,13,183,42,97,275,7,65,29,57,127,3,11,12,18,39,1,360,225,94,23
OUN_HK137_001,429,257,286,985,13,272,140,177,597,8,91,77,107,277,2,10,22,37,71,2,686,412,168,32,309,171,261,611,11,196,86,165,392,6,65,41,100,184,1,6,11,36,47,1,480,282,106,17
1258-1,400,236,374,1039,29,281,151,263,722,27,151,90,156,415,18,60,54,50,171,7,636,432,241,114,237,132,264,444,8,154,72,185,308,7,78,33,113,184,4,21,18,38,66,3,369,226,111,39
OUN_HK018_0047,393,87,327,818,11,198,58,179,437,2,75,37,97,211,2,22,5,29,56,0,480,256,112,27,285,53,293,531,11,142,35,161,298,2,52,21,89,150,2,12,3,28,42,0,338,177,73,15
BON_B21-10_1,365,91,326,817,35,246,76,228,580,30,135,59,137,357,26,48,28,54,141,11,456,322,194,76,244,51,267,442,29,161,43,192,322,25,85,35,117,211,23,28,17,48,87,10,295,204,120,45
OUN_HK081_001,360,304,334,1040,42,218,165,201,598,14,129,93,121,345,2,29,17,34,80,0,664,383,222,46,250,202,299,620,40,148,108,187,376,14,85,59,114,228,2,20,9,32,57,0,452,256,144,29
INMR_HZ_401,356,118,272,751,5,226,60,180,470,4,112,43,106,263,2,20,23,35,79,1,474,286,155,43,238,71,207,389,4,148,29,139,252,3,71,20,84,147,2,11,12,30,51,1,309,177,91,23
INMR_IG_561,334,101,273,726,18,190,53,179,433,11,97,45,112,261,7,21,15,42,78,0,435,243,142,36,238,75,209,395,6,142,35,146,256,2,66,28,90,153,2,14,11,36,58,0,313,177,94,25
RGP_800_3_3,320,59,352,735,4,176,46,219,444,3,75,37,135,250,3,13,14,55,82,0,379,222,112,27,243,35,271,433,4,134,26,168,267,3,53,21,109,163,3,9,6,48,58,0,278,160,74,15
193CP_LS,318,174,306,799,1,207,100,223,531,1,118,67,146,332,1,47,21,50,119,1,492,307,185,68,218,118,225,412,1,137,62,166,283,1,69,38,109,177,1,23,13,38,65,1,336,199,107,36
M_0146-01-H1,313,0,2,705,390,243,0,1,563,319,170,0,0,401,231,92,0,0,219,127,0,0,0,0,146,0,2,263,174,106,0,1,202,146,75,0,0,137,102,45,0,0,84,59,0,0,0,0
B15-28_1_1,311,74,79,524,60,196,54,61,340,29,112,38,43,210,17,30,12,15,60,3,385,250,150,42,194,38,74,306,53,123,27,57,201,23,66,20,40,123,14,20,7,14,41,3,232,150,86,27
B09-24-1RNA_UNKNOWN,293,282,283,860,2,189,168,180,538,1,102,67,106,275,0,31,16,35,82,0,575,357,169,47,196,191,216,427,2,132,118,139,288,1,67,43,82,147,0,20,10,28,48,0,387,250,110,30
37L_NA_M1,290,8,22,404,84,225,6,20,305,54,146,5,17,203,35,67,2,13,94,12,298,231,151,69,155,7,19,214,75,119,6,17,163,47,75,5,15,108,31,35,2,11,53,10,162,125,80,37
OUN_HK047_0116,282,175,270,758,31,177,110,159,457,11,112,59,83,262,8,35,15,21,72,1,457,287,171,50,188,111,240,448,28,111,61,137,264,10,65,30,69,143,8,19,8,20,41,1,299,172,95,27
OUN_HK112_001,268,170,257,714,19,148,99,146,401,8,81,62,86,233,4,16,22,26,66,2,438,247,143,38,198,106,235,459,16,103,55,135,261,7,53,33,79,151,3,10,11,25,44,2,304,158,86,21
B15-15_1_1,260,98,239,621,24,175,62,145,395,13,82,40,89,217,6,33,8,30,73,2,358,237,122,41,189,61,202,391,22,121,40,124,243,12,55,25,75,137,6,21,5,27,48,2,250,161,80,26
BEG_1230-1_T1227,255,279,61,871,276,203,224,39,695,229,165,180,26,558,187,107,101,13,324,103,534,427,345,208,131,140,55,260,130,100,107,35,195,106,82,87,23,148,84,52,49,12,86,47,271,207,169,101
B16-48_1_1,248,158,204,619,9,126,78,139,351,8,56,54,89,204,5,20,26,32,81,3,406,204,110,46,182,109,174,355,7,95,45,117,211,6,40,28,72,116,4,13,13,25,47,3,291,140,68,26
BON_B17-23_1,248,146,191,586,1,155,78,124,357,0,73,43,77,193,0,16,17,23,56,0,394,233,116,33,174,102,158,333,1,110,45,110,215,0,43,24,71,115,0,9,9,23,40,0,276,155,67,18
INMR_HW_389,235,155,186,578,2,142,75,115,333,1,63,28,69,160,0,11,9,19,39,0,390,217,91,20,175,115,158,326,2,107,52,99,201,1,47,18,57,103,0,7,5,18,29,0,290,159,65,12
