sampleID,All_Genes_Outlier_Status,Psi3_Genes_Outlier_Status,Psi5_Genes_Outlier_Status,Theta_Genes_Outlier_Status,Jaccard_Genes_Outlier_Status,All_Genes_001_Outlier_Status,Psi3_Genes_001_Outlier_Status,Psi5_Genes_001_Outlier_Status,Theta_Genes_001_Outlier_Status,Jaccard_Genes_001_Outlier_Status,All_Genes_01_Outlier_Status,Psi3_Genes_01_Outlier_Status,Psi5_Genes_01_Outlier_Status,Theta_Genes_01_Outlier_Status,Jaccard_Genes_01_Outlier_Status,All_Genes_1e_6_Outlier_Status,Psi3_Genes_1e_6_Outlier_Status,Psi5_Genes_1e_6_Outlier_Status,Theta_Genes_1e_6_Outlier_Status,Jaccard_Genes_1e_6_Outlier_Status,All_Junctions_Outlier_Status,Psi3_Junctions_Outlier_Status,Psi5_Junctions_Outlier_Status,Theta_Junctions_Outlier_Status,Jaccard_Junctions_Outlier_Status,All_Junctions_001_Outlier_Status,Psi3_Junctions_001_Outlier_Status,Psi5_Junctions_001_Outlier_Status,Theta_Junctions_001_Outlier_Status,Jaccard_Junctions_001_Outlier_Status,All_Junctions_01_Outlier_Status,Psi3_Junctions_01_Outlier_Status,Psi5_Junctions_01_Outlier_Status,Theta_Junctions_01_Outlier_Status,Jaccard_Junctions_01_Outlier_Status,All_Junctions_1e_6_Outlier_Status,Psi3_Junctions_1e_6_Outlier_Status,Psi5_Junctions_1e_6_Outlier_Status,Theta_Junctions_1e_6_Outlier_Status,Jaccard_Junctions_1e_6_Outlier_Status,Psi3_Psi5_Genes_Outlier_Status,Psi3_Psi5_Genes_01_Outlier_Status,Psi3_Psi5_Genes_001_Outlier_Status,Psi3_Psi5_Genes_1e_6_Outlier_Status,Psi3_Psi5_Junctions_Outlier_Status,Psi3_Psi5_Junctions_01_Outlier_Status,Psi3_Psi5_Junctions_001_Outlier_Status,Psi3_Psi5_Junctions_1e_6_Outlier_Status
BON_B17-01_1_R3,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49O_NM_M1,1,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAN_1438-01-M1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN_HK116_001,1,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INMR_IK_581,0,1,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN_HK137_001,1,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN_HK018_0047,1,1,NA,NA,NA,0,0,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258-1,0,0,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INMR_HZ_401,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN_HK081_001,1,0,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BON_B21-10_1,0,0,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INMR_IG_561,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGP_800_3_3,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193CP_LS,0,0,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_0146-01-H1,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B15-28_1_1,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B09-24-1RNA_UNKNOWN,0,0,NA,NA,NA,0,0,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN_HK047_0116,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37L_NA_M1,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN_HK112_001,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
