hgnc_symbol,uniprot_gn_id,uniprot_gn_symbol,go_id,namespace_1003,name_1006,go_meaning
ABHD18,D6RGX5,ABHD18,GO:0005576,cellular_component,extracellular region,extracellular region
ABHD18,Q0P651,ABHD18,GO:0005576,cellular_component,extracellular region,extracellular region
ABHD18,A0A2R8YEZ0,ABHD18,GO:0005576,cellular_component,extracellular region,extracellular region
ABHD18,D6RD85,ABHD18,GO:0005576,cellular_component,extracellular region,extracellular region
ACTL6A,C9JQT2,ACTL6A,GO:0005634,cellular_component,nucleus,nucleus
ACTL6A,C9JQT2,ACTL6A,GO:0005654,cellular_component,nucleoplasm,nucleoplasm
ACTL6A,C9JQT2,ACTL6A,GO:0005515,molecular_function,protein binding,protein binding
ACTL6A,C9JQT2,ACTL6A,GO:0007399,biological_process,nervous system development,nervous system development
ACTL6A,C9JQT2,ACTL6A,GO:0006325,biological_process,chromatin organization,chromatin organization
ACTL6A,C9JQT2,ACTL6A,GO:0006281,biological_process,DNA repair,DNA repair
ACTL6A,C9JQT2,ACTL6A,GO:0006974,biological_process,cellular response to DNA damage stimulus,DNA damage response
ACTL6A,C9JQT2,ACTL6A,GO:0032991,cellular_component,protein-containing complex,protein-containing complex
ACTL6A,C9JQT2,ACTL6A,GO:0006357,biological_process,regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II
ACTL6A,C9JQT2,ACTL6A,GO:0016514,cellular_component,SWI/SNF complex,SWI/SNF complex
ACTL6A,C9JQT2,ACTL6A,GO:0006310,biological_process,DNA recombination,DNA recombination
ACTL6A,C9JQT2,ACTL6A,GO:0000785,cellular_component,chromatin,chromatin
ACTL6A,C9JQT2,ACTL6A,GO:0006338,biological_process,chromatin remodeling,chromatin remodeling
ACTL6A,C9JQT2,ACTL6A,GO:0003682,molecular_function,chromatin binding,chromatin binding
ACTL6A,C9JQT2,ACTL6A,GO:0035267,cellular_component,NuA4 histone acetyltransferase complex,NuA4 histone acetyltransferase complex
ACTL6A,C9JQT2,ACTL6A,GO:0031011,cellular_component,Ino80 complex,Ino80 complex
ACTL6A,C9JQT2,ACTL6A,GO:0007165,biological_process,signal transduction,signal transduction
ACTL6A,C9JQT2,ACTL6A,GO:0003713,molecular_function,transcription coactivator activity,transcription coactivator activity
ACTL6A,C9JQT2,ACTL6A,GO:0006282,biological_process,regulation of DNA repair,regulation of DNA repair
ACTL6A,C9JQT2,ACTL6A,GO:0045893,biological_process,positive regulation of DNA-templated transcription,positive regulation of DNA-templated transcription
ACTL6A,C9JQT2,ACTL6A,GO:0030071,biological_process,regulation of mitotic metaphase/anaphase transition,regulation of mitotic metaphase/anaphase transition
ACTL6A,C9JQT2,ACTL6A,GO:0045582,biological_process,positive regulation of T cell differentiation,positive regulation of T cell differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0045597,biological_process,positive regulation of cell differentiation,positive regulation of cell differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0045663,biological_process,positive regulation of myoblast differentiation,positive regulation of myoblast differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0070316,biological_process,regulation of G0 to G1 transition,regulation of G0 to G1 transition
ACTL6A,C9JQT2,ACTL6A,GO:1902459,biological_process,positive regulation of stem cell population maintenance,positive regulation of stem cell population maintenance
ACTL6A,C9JQT2,ACTL6A,GO:2000045,biological_process,regulation of G1/S transition of mitotic cell cycle,regulation of G1/S transition of mitotic cell cycle
ACTL6A,C9JQT2,ACTL6A,GO:2000781,biological_process,positive regulation of double-strand break repair,positive regulation of double-strand break repair
ACTL6A,C9JQT2,ACTL6A,GO:2000819,biological_process,regulation of nucleotide-excision repair,regulation of nucleotide-excision repair
ACTL6A,C9JQT2,ACTL6A,GO:0035060,cellular_component,brahma complex,brahma complex
ACTL6A,C9JQT2,ACTL6A,GO:0071564,cellular_component,npBAF complex,npBAF complex
ACTL6A,C9JQT2,ACTL6A,GO:0000776,cellular_component,kinetochore,kinetochore
ACTL6A,C9JQT2,ACTL6A,GO:0006355,biological_process,regulation of DNA-templated transcription,regulation of DNA-templated transcription
ACTL6A,C9JQT2,ACTL6A,GO:0000786,cellular_component,nucleosome,nucleosome
ACTL6A,C9JQT2,ACTL6A,GO:0042981,biological_process,regulation of apoptotic process,regulation of apoptotic process
ACTL6A,C9JQT2,ACTL6A,GO:0006275,biological_process,regulation of DNA replication,regulation of DNA replication
ACTL6A,C9JQT2,ACTL6A,GO:0005886,cellular_component,plasma membrane,plasma membrane
ACTL6A,C9JQT2,ACTL6A,GO:0031492,molecular_function,nucleosomal DNA binding,nucleosomal DNA binding
ACTL6A,C9JQT2,ACTL6A,GO:0045995,biological_process,regulation of embryonic development,regulation of embryonic development
ACTL6A,C9JQT2,ACTL6A,GO:0051726,biological_process,regulation of cell cycle,regulation of cell cycle
