"Sample_ID","zscore_no_theta_juncs","zscore_no_psi3_juncs","zscore_no_psi5_juncs","zscore_no_theta_abs_z_score","zscore_no_theta_z_score_under","zscore_no_theta_z_score_over","zscore_no_psi5_abs_z_score","zscore_no_psi5_z_score_under","zscore_no_psi5_z_score_over","zscore_no_psi3_abs_z_score","zscore_no_psi3_z_score_under","zscore_no_psi3_z_score_over","zscore_no_theta_pval_1E_neg6","zscore_no_theta_pval_1E_neg6_abs_deltaPsi","zscore_no_theta_abs_deltaPsi","zscore_no_theta_deltaPsi_over","zscore_no_theta_deltaPsi_under","zscore_no_psi5_abs_deltaPsi","zscore_no_psi5_deltaPsi_over","zscore_no_psi5_deltaPsi_under","zscore_no_psi3_abs_deltaPsi","zscore_no_psi3_deltaPsi_over","zscore_no_psi3_deltaPsi_under","zscore_psi3_psi5","zscore_no_MIGs_theta_juncs","zscore_no_MIGs_psi3_juncs","zscore_no_MIGs_psi5_juncs","zscore_no_MIGs_theta_abs_z_score","zscore_no_MIGs_theta_z_score_under","zscore_no_MIGs_theta_z_score_over","zscore_no_MIGs_psi5_abs_z_score","zscore_no_MIGs_psi5_z_score_under","zscore_no_MIGs_psi5_z_score_over","zscore_no_MIGs_psi3_abs_z_score","zscore_no_MIGs_psi3_z_score_under","zscore_no_MIGs_psi3_z_score_over","zscore_no_MIGs_theta_pval_1E_neg6","zscore_no_MIGs_theta_pval_1E_neg6_abs_deltaPsi","zscore_no_MIGs_theta_abs_deltaPsi","zscore_no_MIGs_theta_deltaPsi_over","zscore_no_MIGs_theta_deltaPsi_under","zscore_no_MIGs_psi5_abs_deltaPsi","zscore_no_MIGs_psi5_deltaPsi_over","zscore_no_MIGs_psi5_deltaPsi_under","zscore_no_MIGs_psi3_abs_deltaPsi","zscore_no_MIGs_psi3_deltaPsi_over","zscore_no_MIGs_psi3_deltaPsi_under"
"RD041","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD042","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD043","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD044","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD045","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD046","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD047","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD048","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD056","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD057","-0.4335509","-0.2541325","-0.3165683","-0.395922","-0.4307033","-0.2541325","-0.3034576","-0.3165683","-0.3165683","-0.2402916","-0.2541325","-0.2541325",NA,NA,"-0.4405936","-0.2541325","-0.4307033","-0.3165683","-0.3165683","-0.3165683","-0.2541325","-0.2402916","-0.1767767","-0.3488585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
