sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
RD144,437,444,448,1329,1709,250,297,254,801,1057,146,166,113,425,510,30,28,8,66,43,253,270,360,745,1160,145,182,212,468,748,84,100,95,248,383,18,17,7,38,35,19,97,15
RD158,427,338,353,1118,1089,264,213,177,654,586,171,125,63,359,253,55,29,6,90,26,268,211,301,683,783,170,129,160,409,441,110,79,56,223,192,35,15,5,49,16,26,59,23
RD435,290,356,298,944,392,171,228,146,545,130,95,137,60,292,39,21,32,5,58,1,186,214,257,572,307,107,137,127,328,100,63,88,52,188,35,13,21,3,35,1,11,16,10
GSS198494,289,244,272,805,47,181,166,152,499,12,110,90,54,254,5,36,34,3,73,0,201,164,232,532,40,128,112,136,337,11,77,66,46,171,5,25,24,3,46,0,12,4,11
UDN874525,289,312,350,951,17,182,207,182,571,9,92,128,63,283,4,26,43,3,72,3,192,218,304,652,16,124,140,164,398,8,63,84,57,188,3,18,30,3,48,2,26,1,22
UDN110107,288,355,243,886,284,194,222,115,531,118,117,115,44,276,35,40,33,7,80,2,193,238,207,557,234,131,152,100,337,103,79,81,38,176,27,24,22,5,45,2,12,14,12
RD385,279,278,294,851,61,167,176,135,478,16,96,101,56,253,7,22,32,13,67,2,190,183,246,566,51,115,117,114,317,14,68,65,44,160,6,15,20,10,41,2,18,7,15
GSS119194,273,345,387,1005,25,178,223,194,595,15,119,146,69,334,8,37,34,5,76,1,191,230,313,659,20,124,151,162,399,11,80,100,60,220,6,26,23,4,49,1,20,1,18
RD465,270,396,434,1100,570,158,233,208,599,256,93,138,97,328,62,26,40,4,70,2,185,254,374,718,469,107,152,188,402,216,62,95,88,225,50,17,26,3,41,2,17,25,16
RD466,269,258,261,788,426,181,160,141,482,137,91,90,56,237,19,23,19,5,47,2,183,164,209,514,338,119,97,114,309,115,62,58,43,152,18,15,11,5,29,2,16,24,16
RD416,268,320,220,808,14,185,201,106,492,5,113,103,44,260,0,28,21,4,53,0,179,204,182,506,12,125,131,90,311,5,80,69,38,177,0,21,13,4,37,0,9,1,9
RD448,266,337,500,1103,596,173,214,231,618,219,111,125,75,311,55,39,37,11,87,5,174,212,416,722,467,116,137,200,415,173,71,81,66,200,46,24,23,10,51,2,22,28,21
UDN258948,265,259,275,799,26,157,198,137,492,10,97,99,43,239,6,22,23,2,47,1,188,175,235,530,22,111,136,117,325,8,65,73,41,160,5,15,20,2,35,1,13,0,11
RD417,263,244,217,724,49,182,159,95,436,16,113,89,40,242,5,33,25,2,60,1,166,161,190,471,43,118,108,88,290,14,73,59,35,156,3,19,14,2,32,1,10,1,9
UDN903368,257,298,314,869,48,165,186,156,507,12,96,120,75,291,2,29,34,11,74,0,165,197,272,578,41,105,123,140,343,12,62,83,69,203,2,17,22,11,46,0,12,4,10
UDN754828,244,323,188,755,358,152,205,76,433,120,95,103,26,224,40,17,26,1,44,0,165,212,159,487,288,99,133,68,278,105,64,68,24,147,36,12,18,1,31,0,9,17,8
UDN890212,243,215,325,783,13,142,143,171,456,5,87,94,66,247,1,14,19,11,44,0,189,156,276,551,12,109,104,151,335,4,69,70,61,186,1,12,13,9,33,0,16,0,16
RD470,234,211,182,627,47,135,143,87,365,16,72,86,35,193,7,23,26,4,53,4,152,136,148,390,37,89,93,69,224,11,43,58,29,115,6,14,17,3,28,4,10,1,10
RD383,230,238,247,715,27,130,153,123,406,14,70,95,45,210,7,23,31,5,59,0,165,165,209,488,21,96,107,103,283,11,52,63,40,143,5,16,19,5,36,0,7,0,7
UDN098331,228,257,347,832,20,136,175,196,507,8,86,103,77,266,0,22,30,6,58,0,166,175,293,572,17,101,116,170,351,6,65,70,71,189,0,16,18,6,35,0,12,2,12
UDN828758,228,168,82,478,100,152,90,32,274,24,86,59,11,156,10,19,18,1,38,2,151,112,76,305,86,105,67,29,181,21,57,44,11,103,8,11,12,1,22,1,4,2,4
UDN469319,225,257,244,726,11,140,168,101,409,8,74,86,35,195,4,23,15,1,39,0,159,179,210,492,8,100,119,89,275,5,50,61,30,127,3,15,12,1,27,0,12,0,11
RD140,221,386,418,1025,1760,133,259,226,618,1030,86,156,93,335,503,18,55,9,82,54,137,227,346,645,1215,85,158,186,395,728,57,98,79,219,389,12,35,9,53,48,26,104,24
GSS189457,215,152,152,519,5,120,89,74,283,5,55,50,27,132,3,14,14,2,30,1,150,109,133,360,3,83,65,67,200,3,42,37,25,95,2,7,10,1,16,1,5,0,5
RD424,195,226,156,577,66,126,165,84,375,14,63,86,26,175,4,18,16,6,40,0,135,144,130,372,54,87,105,73,246,12,42,59,23,114,3,13,9,5,26,0,5,3,5
RD428,193,157,70,420,4,115,92,26,233,2,61,43,7,111,2,18,12,1,31,0,136,103,62,278,2,80,63,23,154,1,41,31,6,71,1,10,7,1,16,0,3,0,3
UDN945491,193,186,245,624,6,134,135,132,401,4,77,63,45,185,4,17,16,0,33,4,137,139,221,450,3,96,102,119,293,2,56,46,42,132,2,12,9,0,17,2,15,0,13
GSS196407,190,178,226,594,17,115,130,111,356,2,53,74,48,175,1,14,16,5,35,1,132,128,188,415,14,81,94,97,259,1,36,53,41,123,0,8,9,5,20,0,11,1,10
UDN449283,188,212,196,596,10,111,134,124,369,6,71,80,36,187,3,19,23,1,43,0,136,155,162,410,6,86,99,106,265,4,54,59,33,130,1,13,17,1,27,0,9,0,7
UDN375669,187,212,345,744,16,119,120,174,413,9,64,66,67,197,5,12,9,5,26,3,137,152,295,537,13,86,91,151,310,7,47,51,57,148,3,7,9,5,20,2,15,1,14
UDN267375,179,137,193,509,1,113,85,102,300,1,51,37,39,127,1,13,10,4,27,1,126,101,166,361,0,83,67,89,220,0,41,31,31,98,0,9,8,2,18,0,6,0,5
UDN370962,179,166,181,526,11,107,91,83,281,7,54,49,30,133,4,4,14,3,21,1,133,118,152,375,9,82,64,70,207,5,40,34,24,97,4,3,8,3,14,1,7,0,7
RD141,177,129,150,456,923,109,84,71,264,504,71,54,26,151,223,19,9,0,28,24,108,73,128,281,691,67,47,62,165,402,44,29,24,91,177,11,6,0,15,18,3,34,3
UDN606250,177,200,257,634,13,115,122,136,373,5,60,62,50,172,4,11,13,4,28,0,126,148,218,455,11,82,90,116,263,4,46,46,41,124,3,8,10,3,20,0,10,0,10
UDN297849,176,158,117,451,3,126,101,50,277,1,70,65,18,153,0,11,15,1,27,0,123,104,103,302,2,86,69,46,181,1,47,46,18,99,0,9,10,1,18,0,4,0,4
