sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
RD144,415,415,440,1270,844,259,268,228,755,483,148,165,98,411,212,31,22,10,63,17,239,250,351,715,592,148,160,189,429,360,85,96,85,235,163,18,13,9,37,14,20,48,NA
RD158,392,289,367,1048,389,255,195,193,643,218,164,112,70,346,91,52,26,7,85,11,251,181,312,655,294,165,120,174,415,162,107,69,62,218,63,33,14,6,46,8,25,23,NA
RD466,285,185,266,736,72,189,111,137,437,14,97,54,55,206,3,26,16,6,48,0,189,118,211,482,61,128,73,113,295,13,67,38,42,136,3,17,9,6,30,0,17,6,NA
GSS198494,277,239,257,773,7,173,159,144,476,4,109,86,54,249,1,30,34,4,68,0,194,159,220,511,7,122,108,128,321,4,77,65,46,171,1,22,24,4,44,0,12,1,NA
GSS119194,275,256,372,903,13,177,168,187,532,3,116,104,60,280,2,36,21,5,62,0,193,175,300,600,10,124,112,160,360,2,78,70,54,184,2,25,14,5,42,0,19,1,NA
UDN110107,272,340,241,853,89,201,198,110,509,37,108,117,42,267,18,43,32,6,81,1,181,226,207,542,74,133,138,95,326,30,72,79,37,167,15,26,22,4,45,1,12,8,NA
UDN874525,271,266,320,857,5,171,186,159,516,4,85,118,65,268,3,25,33,4,62,2,186,189,276,593,4,119,126,144,362,3,62,78,59,184,2,17,23,4,41,1,25,0,NA
RD416,269,317,227,813,3,181,207,107,495,2,110,106,45,261,0,27,20,4,51,0,176,208,188,511,2,122,140,91,320,1,78,68,38,174,0,21,12,4,36,0,8,1,NA
RD448,261,270,446,977,139,168,184,210,562,49,109,109,68,286,16,37,34,8,79,4,168,173,377,646,111,110,119,180,377,36,70,72,61,189,10,23,21,7,48,2,20,4,NA
RD417,258,236,213,707,11,173,164,89,426,7,106,84,38,228,3,34,22,1,57,1,165,157,186,459,8,111,110,82,281,4,67,53,33,142,1,20,12,1,29,1,11,0,NA
