hgnc_symbol,uniprot_gn_id,uniprot_gn_symbol,go_id,namespace_1003,name_1006
ABHD18,D6RGX5,ABHD18,,,
ABHD18,D6RGX5,ABHD18,GO:0005576,cellular_component,extracellular region
ABHD18,Q0P651,ABHD18,,,
ABHD18,Q0P651,ABHD18,GO:0005576,cellular_component,extracellular region
ABHD18,A0A2R8YEZ0,ABHD18,,,
ABHD18,A0A2R8YEZ0,ABHD18,GO:0005576,cellular_component,extracellular region
ABHD18,D6RD85,ABHD18,,,
ABHD18,D6RD85,ABHD18,GO:0005576,cellular_component,extracellular region
ACTL6A,C9JQT2,ACTL6A,GO:0005634,cellular_component,nucleus
ACTL6A,C9JQT2,ACTL6A,GO:0005654,cellular_component,nucleoplasm
ACTL6A,C9JQT2,ACTL6A,GO:0005515,molecular_function,protein binding
ACTL6A,C9JQT2,ACTL6A,GO:0007399,biological_process,nervous system development
ACTL6A,C9JQT2,ACTL6A,GO:0006325,biological_process,chromatin organization
ACTL6A,C9JQT2,ACTL6A,GO:0006281,biological_process,DNA repair
ACTL6A,C9JQT2,ACTL6A,GO:0006974,biological_process,cellular response to DNA damage stimulus
ACTL6A,C9JQT2,ACTL6A,GO:0032991,cellular_component,protein-containing complex
ACTL6A,C9JQT2,ACTL6A,GO:0006357,biological_process,regulation of transcription by RNA polymerase II
ACTL6A,C9JQT2,ACTL6A,GO:0016514,cellular_component,SWI/SNF complex
ACTL6A,C9JQT2,ACTL6A,GO:0006310,biological_process,DNA recombination
ACTL6A,C9JQT2,ACTL6A,GO:0000785,cellular_component,chromatin
ACTL6A,C9JQT2,ACTL6A,GO:0006338,biological_process,chromatin remodeling
ACTL6A,C9JQT2,ACTL6A,GO:0003682,molecular_function,chromatin binding
ACTL6A,C9JQT2,ACTL6A,GO:0035267,cellular_component,NuA4 histone acetyltransferase complex
ACTL6A,C9JQT2,ACTL6A,GO:0031011,cellular_component,Ino80 complex
ACTL6A,C9JQT2,ACTL6A,GO:0007165,biological_process,signal transduction
ACTL6A,C9JQT2,ACTL6A,GO:0003713,molecular_function,transcription coactivator activity
ACTL6A,C9JQT2,ACTL6A,GO:0006282,biological_process,regulation of DNA repair
ACTL6A,C9JQT2,ACTL6A,GO:0045893,biological_process,positive regulation of DNA-templated transcription
ACTL6A,C9JQT2,ACTL6A,GO:0030071,biological_process,regulation of mitotic metaphase/anaphase transition
ACTL6A,C9JQT2,ACTL6A,GO:0045582,biological_process,positive regulation of T cell differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0045597,biological_process,positive regulation of cell differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0045663,biological_process,positive regulation of myoblast differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0070316,biological_process,regulation of G0 to G1 transition
ACTL6A,C9JQT2,ACTL6A,GO:1902459,biological_process,positive regulation of stem cell population maintenance
ACTL6A,C9JQT2,ACTL6A,GO:2000045,biological_process,regulation of G1/S transition of mitotic cell cycle
ACTL6A,C9JQT2,ACTL6A,GO:2000781,biological_process,positive regulation of double-strand break repair
ACTL6A,C9JQT2,ACTL6A,GO:2000819,biological_process,regulation of nucleotide-excision repair
ACTL6A,C9JQT2,ACTL6A,GO:0035060,cellular_component,brahma complex
ACTL6A,C9JQT2,ACTL6A,GO:0071564,cellular_component,npBAF complex
ACTL6A,C9JQT2,ACTL6A,GO:0000776,cellular_component,kinetochore
ACTL6A,C9JQT2,ACTL6A,GO:0006355,biological_process,regulation of DNA-templated transcription
ACTL6A,C9JQT2,ACTL6A,GO:0000786,cellular_component,nucleosome
ACTL6A,C9JQT2,ACTL6A,GO:0042981,biological_process,regulation of apoptotic process
ACTL6A,C9JQT2,ACTL6A,GO:0006275,biological_process,regulation of DNA replication
ACTL6A,C9JQT2,ACTL6A,GO:0005886,cellular_component,plasma membrane
ACTL6A,C9JQT2,ACTL6A,GO:0031492,molecular_function,nucleosomal DNA binding
ACTL6A,C9JQT2,ACTL6A,GO:0045995,biological_process,regulation of embryonic development
ACTL6A,C9JQT2,ACTL6A,GO:0051726,biological_process,regulation of cell cycle
ACTL6A,C9JQT2,ACTL6A,GO:0008284,biological_process,positive regulation of cell population proliferation
ACTL6A,C9JQT2,ACTL6A,GO:0045596,biological_process,negative regulation of cell differentiation
ACTL6A,C9JQT2,ACTL6A,GO:0016363,cellular_component,nuclear matrix
ACTL6A,C9JQT2,ACTL6A,GO:0016586,cellular_component,RSC-type complex
ACTL6A,C9JQT2,ACTL6A,GO:0140288,cellular_component,GBAF complex
ACTL6A,C9JQT2,ACTL6A,GO:1905168,biological_process,positive regulation of double-strand break repair via homologous recombination
ACTL6A,C9JQT2,ACTL6A,GO:2000779,biological_process,regulation of double-strand break repair
ACTL6A,C9JQT2,ACTL6A,GO:0000723,biological_process,telomere maintenance
ACTL6A,C9JQT2,ACTL6A,GO:0003407,biological_process,neural retina development
ACTL6A,C9JQT2,ACTL6A,GO:0033044,biological_process,regulation of chromosome organization
ACTL6A,C9JQT2,ACTL6A,GO:0045739,biological_process,positive regulation of DNA repair
ACTL6A,C9JQT2,ACTL6A,GO:0060382,biological_process,regulation of DNA strand elongation
ACTL6A,C9JQT2,ACTL6A,GO:1904507,biological_process,positive regulation of telomere maintenance in response to DNA damage
ACTL6A,C9JQT2,ACTL6A,,,
ACTL6A,C9JQT2,ACTL6A,GO:0001825,biological_process,blastocyst formation
ACTL6A,C9JQT2,ACTL6A,GO:0021510,biological_process,spinal cord development
ACTL6A,O96019,ACTL6A,GO:0005634,cellular_component,nucleus
ACTL6A,O96019,ACTL6A,GO:0005654,cellular_component,nucleoplasm
ACTL6A,O96019,ACTL6A,GO:0005515,molecular_function,protein binding
ACTL6A,O96019,ACTL6A,GO:0007399,biological_process,nervous system development
ACTL6A,O96019,ACTL6A,GO:0006325,biological_process,chromatin organization
ACTL6A,O96019,ACTL6A,GO:0006281,biological_process,DNA repair
ACTL6A,O96019,ACTL6A,GO:0006974,biological_process,cellular response to DNA damage stimulus
ACTL6A,O96019,ACTL6A,GO:0032991,cellular_component,protein-containing complex
ACTL6A,O96019,ACTL6A,GO:0006357,biological_process,regulation of transcription by RNA polymerase II
ACTL6A,O96019,ACTL6A,GO:0016514,cellular_component,SWI/SNF complex
ACTL6A,O96019,ACTL6A,GO:0006310,biological_process,DNA recombination
ACTL6A,O96019,ACTL6A,GO:0000785,cellular_component,chromatin
ACTL6A,O96019,ACTL6A,GO:0006338,biological_process,chromatin remodeling
ACTL6A,O96019,ACTL6A,GO:0003682,molecular_function,chromatin binding
ACTL6A,O96019,ACTL6A,GO:0035267,cellular_component,NuA4 histone acetyltransferase complex
ACTL6A,O96019,ACTL6A,GO:0031011,cellular_component,Ino80 complex
ACTL6A,O96019,ACTL6A,GO:0007165,biological_process,signal transduction
ACTL6A,O96019,ACTL6A,GO:0003713,molecular_function,transcription coactivator activity
ACTL6A,O96019,ACTL6A,GO:0006282,biological_process,regulation of DNA repair
ACTL6A,O96019,ACTL6A,GO:0045893,biological_process,positive regulation of DNA-templated transcription
