seqnames,start,end,width,strand,sampleID,hgncSymbol,type,pValue,padjust,psiValue,deltaPsi,counts,totalCounts,meanCounts,meanTotalCounts,nonsplitCounts,nonsplitProportion,nonsplitProportion_99quantile
chr3,127576697,127576820,124,*,RD447,TPRA1,jaccard,2.4429e-11,0.0010144,0.14,-0.81,4,28,112.03,122.3,5,0.18,NA
chr2,162267570,162268086,517,*,RD422,IFIH1,jaccard,3.1917e-11,0.0013253,0.31,-0.63,55,175,175.05,190.69,21,0.12,NA
chr21,15830602,15831400,799,*,GSS114164,USP25,jaccard,3.2618e-11,0.0013545,0.63,-0.37,78,123,139.78,140.89,0,0,NA
chr19,35896539,35896725,187,*,GSS115014,NFKBID,jaccard,3.7561e-11,0.0015597,0.53,-0.47,96,182,75.75,76.97,55,0.3,NA
chr6,29890297,29890438,142,*,GSS278189,NA,jaccard,3.7775e-11,0.0015686,0.91,0.87,96,106,59.64,3130.84,5,0.05,NA
chr17,81540951,81541308,358,*,RD215,FAAP100,jaccard,3.9753e-11,0.0016507,0.68,-0.31,162,240,240.03,246.9,2,0.01,NA
chr15,90943083,90944891,1809,*,GSS289459,UNC45A,jaccard,4.268e-11,0.0017723,0.52,-0.47,103,197,136.45,142.05,9,0.05,NA
chr7,150793316,150793543,228,*,GSS119197,TMEM176B,jaccard,4.4034e-11,0.0018285,0.55,-0.44,18,33,406.91,411.06,15,0.45,NA
chrY,19710261,19710375,115,*,RD373,KDM5D,jaccard,4.9594e-11,0.0011012,0,-0.51,0,127,46.67,79.51,11,0.09,NA
chr19,1045170,1046229,1060,*,UDN090830,ABCA7,jaccard,4.9721e-11,0.0010323,0.39,0.39,22,56,0.33,459.32,16,0.29,NA
chr9,133352143,133352445,303,*,RD383,NA,jaccard,5.0491e-11,0.0010483,0.46,-0.48,311,681,418.2,443.27,242,0.36,NA
chr6,31270084,31270209,126,*,RD257,NA,jaccard,5.0726e-11,0.0021064,0.35,0.35,1955,5621,124.08,16969.05,98,0.02,NA
chr19,6381616,6381696,81,*,RD169,GTF2F1,jaccard,5.6478e-11,0.0023452,0.48,-0.49,29,61,422.87,437.75,9,0.15,NA
chr3,49940226,49962575,22350,*,RD200,RBM6,jaccard,5.7575e-11,0.0023908000000000002,0.32,-0.67,20,63,100.82,104.84,11,0.17,NA
chr21,8399055,8434423,35369,*,RD416,NA,jaccard,5.7968e-11,0.0024071,0,-0.32,0,63,1.11,709.86,63,1,NA
chr6,108044841,108049252,4412,*,RD439,OSTM1,jaccard,6.0127e-11,0.0012484,0.51,-0.44,43,85,154.76,161.11,2,0.02,NA
chr11,48121267,48123612,2346,*,RD182,PTPRJ,jaccard,6.4017e-11,0.0026583,0.66,-0.33,45,68,273.36,276.87,1,0.01,NA
chr10,97751463,97753037,1575,*,UDN118395,ZFYVE27,jaccard,7.3682e-11,0.0030596,0.64,-0.33,166,260,187.42,202.43,17,0.07,NA
chr19,54337144,54337399,256,*,RD185,NA,jaccard,7.4105e-11,0.0030772,0.19,-0.8,18,95,60.56,62.83,0,0,NA
chr7,150796571,150800297,3727,*,UDN412565,TMEM176B,jaccard,7.5423e-11,0.001566,0.62,0.62,10,16,5.96,455.96,3,0.19,NA
chr16,1342635,1342718,84,*,RD399,BAIAP3,jaccard,7.6562e-11,0.0015896,0.07,-0.91,1,15,51.21,52.52,0,0,NA
chr19,54274830,54275950,1121,*,RD179,NA,jaccard,7.7055e-11,0.0015999,0.32,-0.54,365,1131,1261.23,1423.57,101,0.09,NA
chr1,150559166,150559286,121,*,UDN469319,ADAMTSL4,jaccard,7.842e-11,0.0016282,0.05,-0.75,3,66,84.69,104.95,63,0.95,NA
chr16,50320392,50320662,271,*,RD384,BRD7,jaccard,8.0293e-11,0.0016671,0.58,-0.36,428,744,280.93,298.47,316,0.42,NA
chr16,89299369,89300052,684,*,RD219,ANKRD11,jaccard,8.1737e-11,0.0016971,0.53,0.52,10,19,0.54,252.97,9,0.47,NA
chr7,150792176,150793087,912,*,UDN606250,TMEM176B,jaccard,8.2078e-11,0.0022833,0.54,-0.44,29,54,389.46,398.05,25,0.46,NA
chrX,119932217,119934493,2277,*,RD444,NKAP,jaccard,8.6057e-11,0.0011912,0.3,-0.61,77,255,81.14,87.01,178,0.7,NA
chr16,29485452,29485679,228,*,RD412,NPIPB12,jaccard,8.8705e-11,0.001289,0.44,0.44,202,457,3.31,189.13,97,0.21,NA
chr5,96880261,96883791,3531,*,UDN202122,ERAP1;ERAP2,jaccard,8.9233e-11,0.0037054,0.25,-0.73,7,28,121.89,124.41,9,0.32,NA
chr20,44206990,44210695,3706,*,RD230,OSER1,jaccard,9.1769e-11,0.0019054,0.43,0.43,129,303,1.17,524.62,79,0.26,NA
chr7,142080946,142082041,1096,*,RD412,NA,jaccard,9.3124e-11,0.001289,0.62,-0.37,30,48,325.98,327.43,0,0,NA
chr1,179914055,179917451,3397,*,UDN537120,TOR1AIP1,jaccard,9.9324e-11,0.0020622,0.53,-0.47,353,662,365,369.79,6,0.01,NA
chr20,1605060,1605848,789,*,GSS177894,SIRPD;SIRPB1,jaccard,1.0046e-10,0.0010429,1,1,6,6,1.39,299.79,0,0,NA
chr2,218282182,218285762,3581,*,RD177,PNKD;LOC105373880;TMBIM1,jaccard,1.0277e-10,0.0021338,0.49,0.38,66,136,65.13,881.1,3,0.02,NA
chr1,19655201,19655323,123,*,UDN908240,MICOS10-NBL1;NBL1,jaccard,1.0283e-10,0.002135,0,-0.99,0,14,33.63,34.65,0,0,NA
chr10,30685410,30689238,3829,*,RD383,SVIL2P,jaccard,1.0767e-10,0.0014904,0,-0.91,0,61,43.57,44.97,0,0,NA
chr16,90169455,90170086,632,*,UDN606250,FAM157C;LOC105376781,jaccard,1.0997e-10,0.0022833,0.4,0.4,127,315,5.31,416.27,145,0.46,NA
chr6,30007397,30007523,127,*,GSS137624,NA,jaccard,1.102e-10,0.0015253,0.82,0.79,23,28,14.88,1545.53,5,0.18,NA
chr19,54358626,54360021,1396,*,GSS284499,NA,jaccard,1.1128e-10,0.0015403,0.57,0.47,949,1665,35.14,311.47,67,0.04,NA
chr6,29829933,29830377,445,*,RD409,NA,jaccard,1.1245e-10,0.0011674,0.75,0.75,12,16,1.96,342.74,4,0.25,NA
chr7,2590107,2593021,2915,*,GSS115014,IQCE,jaccard,1.158e-10,0.0024044,0.16,-0.82,8,49,37.84,39.91,15,0.31,NA
chr15,25781224,25782851,1628,*,RD424,ATP10A,jaccard,1.1668e-10,0.0016151,0.94,0.93,33,35,2.06,44.05,0,0,NA
chr20,1445831,1452492,6662,*,RD361,NSFL1C,jaccard,1.1873000000000001e-10,0.0016434,0.48,-0.38,564,1171,499.57,578.35,292,0.25,NA
chr8,6936142,6936727,586,*,RD418,NA,jaccard,1.2207e-10,0.0025344,0.13,-0.86,2,15,129.57,133.88,5,0.33,NA
chr8,85464116,85465271,1156,*,RD145,CA3-AS1;CA2,jaccard,1.2498e-10,0.0033786,0.35,-0.63,8,23,121.1,121.65,4,0.17,NA
chr20,44206990,44210695,3706,*,RD229,OSER1,jaccard,1.2674e-10,0.0017543,0.42,0.42,116,274,1.17,524.62,72,0.26,NA
chr6,43014349,43017133,2785,*,RD239,MEA1;KLHDC3,jaccard,1.3038e-10,0.0054142,0.61,-0.3,109,178,526.54,576.7,64,0.36,NA
chr1,179914055,179917451,3397,*,UDN851664,TOR1AIP1,jaccard,1.3044e-10,0.0013541,0.54,-0.46,328,609,365,369.79,6,0.01,NA
chr17,7436086,7436193,108,*,GSS253639,NA,jaccard,1.3211e-10,0.0019196,0.37,-0.61,60,161,100.51,104.42,22,0.14,NA
chr19,8257078,8261687,4610,*,RD063,CERS4,jaccard,1.3217e-10,0.0018295,0.38,0.37,54,143,3.35,349.99,27,0.19,NA
chr4,15778648,15816510,37863,*,RD417,CD38,jaccard,1.3322e-10,0.0011064,0,-0.99,0,15,56.15,58.69,0,0,NA
chr15,83107887,83112796,4910,*,GSS253639,TM6SF1;HDGFL3,jaccard,1.3868e-10,0.0019196,0.48,0.47,115,242,3.25,152.47,1,0,NA
chr1,228102689,228102898,210,*,RD372,C1orf35,jaccard,1.3938e-10,0.0019293,0.47,-0.48,107,226,163.95,174.36,115,0.51,NA
chr11,1952856,1956255,3400,*,RD258,NA,jaccard,1.4084e-10,0.0019495,0,-0.94,0,15,201.67,221.11,0,0,NA
chr16,30224604,30224710,107,*,RD278,NPIPB13,jaccard,1.4564e-10,0.0060477,0.64,0.63,27,42,0.38,33.69,10,0.24,NA
chr6,41149919,41150818,900,*,RD213,TREML1,jaccard,1.4871e-10,0.0020584,0.08,-0.7,10,129,147.65,186.17,6,0.05,NA
chr2,218280127,218281939,1813,*,RD296,PNKD;LOC105373880;TMBIM1;MIR6513,jaccard,1.5287e-10,0.0015578,0.52,-0.43,59,114,475.07,499.98,4,0.04,NA
chr6,29888026,29926731,38706,*,UDN890212,NA,jaccard,1.5291e-10,0.0021166,0.89,0.87,8,9,0.24,250.31,1,0.11,NA
chr3,11313421,11315343,1923,*,RD353,ATG7,jaccard,1.5662e-10,0.0010839,0.15,-0.82,15,99,55.77,59.52,73,0.74,NA
chr7,75516221,75525904,9684,*,RD387,PMS2P3,jaccard,1.5801e-10,0.0010936,0.12,-0.81,6,48,45.5,49.35,1,0.02,NA
chr4,182891478,182893030,1553,*,RD466,DCTD,jaccard,1.5978e-10,0.0016587,0.61,-0.36,38,62,151.94,155.71,0,0,NA
chr15,34530075,34530181,107,*,UDN469319,GOLGA8B,jaccard,1.6099e-10,0.0022284,0,-0.92,0,18,19.95,20.48,0,0,NA
chr17,41765068,41767378,2311,*,RD413,JUP,jaccard,1.6182e-10,0.0043958,0.06,-0.93,1,16,69.63,70.54,0,0,NA
chr19,54459577,54459632,56,*,RD182,NA,jaccard,1.6192e-10,0.003362,0.36,0.33,323,895,24.7,972.3,541,0.6,NA
chr16,83809426,83811420,1995,*,RD145,HSBP1;MLYCD,jaccard,1.6273e-10,0.0033786,0.57,-0.41,129,226,211.4,224.3,1,0,NA
chr11,1955782,1956255,474,*,UDN449283,NA,jaccard,1.6385e-10,0.002268,1,0.97,9,9,5.58,213.53,0,0,NA
chr21,29145708,29149188,3481,*,RD423,NA,jaccard,1.6413e-10,0.0034077,0.24,-0.71,10,41,215.64,228.37,0,0,NA
chr5,87346725,87349213,2489,*,UDN874525,RASA1;CCNH,jaccard,1.7221e-10,0.0014302,0,-0.97,0,27,31.41,34.57,27,1,NA
chr1,68148200,68148417,218,*,RD399,GNG12-AS1;WLS,jaccard,1.7277e-10,0.0018661,0.57,0.57,16,28,1.48,173.02,2,0.07,NA
